"","SUNSID","Acres","BUFF_DIST","Method","Start","Buff03km","Buffer05km","Buffer1km","Buff03SLR2","Buff05SLR2ft","Buff1SLR2ft","Buff03SFHA","Buff05SFHA","Buff1SFHA"
"190","BAY01",674.590026855469,300,"ParcelAll_count","Footprint",196,NA,NA,68,NA,NA,145,NA,NA
"191","TYN02",46.810001373291,300,"Landscan_pop","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"192","TYN02",46.810001373291,300,"Census_pop20","Footprint",0.324860380302927,NA,NA,0.0359382217560145,NA,NA,0.100026592164875,NA,NA
"193","TYN02",46.810001373291,300,"ParcelAll_bldgcnt","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"194","TYN02",46.810001373291,300,"ParcelRes_count","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"195","TYN02",46.810001373291,300,"ParcelAll_count","Footprint",3,NA,NA,3,NA,NA,3,NA,NA
"196","TYN04",588.549987792969,300,"Landscan_pop","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"197","TYN04",588.549987792969,300,"Census_pop20","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"198","TYN04",588.549987792969,300,"ParcelAll_bldgcnt","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"199","TYN04",588.549987792969,300,"ParcelRes_count","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"200","TYN04",588.549987792969,300,"ParcelAll_count","Footprint",2,NA,NA,1,NA,NA,2,NA,NA
"201","FRA10",112.569999694824,300,"Landscan_pop","Footprint",53,NA,NA,0,NA,NA,53,NA,NA
"202","FRA10",112.569999694824,300,"Census_pop20","Footprint",17.5342716479844,NA,NA,2.99756115675963,NA,NA,17.5342681166569,NA,NA
"203","FRA10",112.569999694824,300,"ParcelAll_bldgcnt","Footprint",65,NA,NA,1,NA,NA,65,NA,NA
"204","FRA10",112.569999694824,300,"ParcelRes_count","Footprint",70,NA,NA,28,NA,NA,70,NA,NA
"205","FRA10",112.569999694824,300,"ParcelAll_count","Footprint",256,NA,NA,107,NA,NA,256,NA,NA
"206","FRA04",556.989990234375,300,"Landscan_pop","Footprint",457,NA,NA,0,NA,NA,449,NA,NA
"207","FRA04",556.989990234375,300,"Census_pop20","Footprint",420.509439220705,NA,NA,5.24157494783102,NA,NA,400.497338530134,NA,NA
"208","FRA04",556.989990234375,300,"ParcelAll_bldgcnt","Footprint",922,NA,NA,0,NA,NA,902,NA,NA
"209","FRA04",556.989990234375,300,"ParcelRes_count","Footprint",940,NA,NA,76,NA,NA,936,NA,NA
"210","FRA04",556.989990234375,300,"ParcelAll_count","Footprint",1468,NA,NA,109,NA,NA,1456,NA,NA
"211","BAY04",25.5499992370606,300,"Landscan_pop","Footprint",3,NA,NA,1,NA,NA,3,NA,NA
"212","BAY04",25.5499992370606,300,"Census_pop20","Footprint",12.8387505122685,NA,NA,0.774091817405792,NA,NA,11.9633684564497,NA,NA
"213","BAY04",25.5499992370606,300,"ParcelAll_bldgcnt","Footprint",1,NA,NA,0,NA,NA,1,NA,NA
"214","BAY04",25.5499992370606,300,"ParcelRes_count","Footprint",2,NA,NA,2,NA,NA,2,NA,NA
"215","BAY04",25.5499992370606,300,"ParcelAll_count","Footprint",9,NA,NA,6,NA,NA,9,NA,NA
"216","TYN01",675.190002441406,300,"Landscan_pop","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"217","TYN01",675.190002441406,300,"Census_pop20","Footprint",2.16460412117086,NA,NA,0.035598225042961,NA,NA,0.562673053630118,NA,NA
"218","TYN01",675.190002441406,300,"ParcelAll_bldgcnt","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"219","TYN01",675.190002441406,300,"ParcelRes_count","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"220","TYN01",675.190002441406,300,"ParcelAll_count","Footprint",1,NA,NA,1,NA,NA,1,NA,NA
"221","BAY08",401.5,300,"Landscan_pop","Footprint",770,NA,NA,NA,NA,NA,1,NA,NA
"222","BAY08",401.5,300,"Census_pop20","Footprint",938.822926626584,NA,NA,NA,NA,NA,8.61857676659259,NA,NA
